uri:/instrument/1.0/TSLA/chartdata;type=quote;range=1d/csv
ticker:tsla
Company-Name:Tesla, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:304.0000
Timestamp:1492435800,1492459200
labels:1492437600,1492441200,1492444800,1492448400,1492452000,1492455600,1492459200
values:Timestamp,close,high,low,open,volume
close:298.9300,303.3600
high:299.4800,304.0000
low:298.6800,303.1000
open:298.9367,303.4850
volume:0,3867200
1492438982,301.5150,301.9050,301.5150,301.8200,9800
1492439042,301.4401,301.6724,301.4401,301.5500,6600
1492439105,300.6983,301.4700,300.6101,301.4667,17400
1492439160,300.9699,300.9850,300.7400,300.7600,7800
1492439225,301.1700,301.2566,300.8700,300.8700,8900
1492439338,301.8100,301.8100,301.1800,301.1800,18000
1492439395,301.2800,301.8645,301.2300,301.8187,11100
1492439400,301.7250,301.7250,301.2882,301.2882,9500
1492439480,301.3500,301.5300,301.3300,301.5300,3600
1492439536,301.1700,301.3800,301.1600,301.3600,3400
1492439584,301.1200,301.2550,301.1000,301.1800,3900
1492439642,300.9204,301.1500,300.9204,301.1020,6900
1492439759,301.1500,301.1500,300.9100,300.9100,9100
1492439760,301.2000,301.3000,301.0902,301.1090,6300
1492439826,300.7400,301.1900,300.7400,301.1400,7000
1492439890,300.4417,300.8999,300.4000,300.8999,17200
1492439942,300.3800,300.4700,300.0800,300.2900,11800
1492440002,300.6501,300.7100,300.3300,300.5700,12800
1492440064,300.9100,300.9100,300.6500,300.7500,9500
1492440122,300.8200,300.9100,300.7500,300.8200,2700
1492440185,300.8400,300.9200,300.8100,300.8200,5300
1492440242,300.9000,300.9700,300.7600,300.8400,5900
1492440300,301.0000,301.2599,300.9300,300.9300,10200
1492440363,301.2000,301.2000,300.8400,300.9922,3400
1492440431,301.1272,301.3300,301.0700,301.1601,3800
1492440488,300.8900,301.1200,300.8900,301.1100,5700
1492440548,300.6200,301.0000,300.6200,301.0000,2500
1492440608,300.6561,300.7459,300.6300,300.7147,1700
1492440660,300.9499,300.9499,300.6200,300.6200,9400
1492440720,301.0100,301.0100,300.8323,300.8323,4700
1492440789,301.0700,301.0700,300.9000,301.0300,6700
1492440848,301.0453,301.1500,300.9200,301.0700,3600
1492440900,301.2200,301.4000,301.0100,301.0100,8100
1492441017,301.2400,301.4100,301.1900,301.2892,5100
1492441020,301.1506,301.2700,301.1506,301.2700,4400
1492441082,301.1600,301.2600,301.0600,301.0700,4900
1492441145,300.9100,301.1640,300.8300,301.1640,8400
1492441212,300.9200,301.1700,300.8500,301.0985,7100
1492441319,300.9703,301.1099,300.9000,301.0397,8700
1492441321,300.8200,301.0399,300.8000,300.9700,10900
1492441387,301.1100,301.1100,300.7800,300.8300,6600
1492441443,301.4500,301.5000,300.9800,300.9800,5000
1492441556,301.3000,301.5000,301.2905,301.4500,9300
1492441566,301.2298,301.3596,301.2298,301.3596,3100
1492441679,300.9400,301.2200,300.9400,301.2200,7900
1492441681,301.3300,301.3300,300.9600,300.9600,8300
1492441743,301.2787,301.4000,301.2500,301.3300,6300
1492441801,301.3900,301.3950,301.3000,301.3300,4900
1492441913,301.3400,301.6955,301.3300,301.3950,12000
1492441920,301.2300,301.5000,301.2300,301.4390,6600
1492442028,301.1800,301.2600,301.0600,301.2600,2300
1492442040,301.4000,301.4000,301.0900,301.1300,3500
1492442101,301.0800,301.4100,301.0700,301.4100,3900
1492442165,301.3400,301.3400,300.9900,301.0400,13200
1492442222,301.3250,301.3300,301.0550,301.2000,4200
1492442333,301.3342,301.6100,301.1900,301.1900,9300
1492442340,301.4900,301.4900,301.2300,301.3053,7700
1492442457,301.6700,301.8700,301.4900,301.4900,11600
1492442460,301.7900,301.9684,301.6200,301.6200,11900
1492442521,301.7500,301.8500,301.6310,301.8300,5900
1492442582,301.7874,301.8228,301.7704,301.8228,3400
1492442640,301.9702,302.0098,301.7100,301.7600,15900
1492442700,302.4990,302.5000,302.0400,302.1200,16200
1492442760,302.1200,302.5400,302.0610,302.5000,14500
1492442835,302.3786,302.6500,302.1600,302.1600,12400
1492442938,302.2900,302.4100,302.2700,302.3180,6800
1492442998,302.7764,302.8800,302.3405,302.3405,22000
1492443000,302.9293,303.0000,302.6700,302.9500,22100
1492443062,302.9900,303.0000,302.8600,302.9806,15500
1492443126,302.8080,302.9900,302.7352,302.9700,14000
1492443188,302.5282,302.8422,302.4700,302.7400,10300
1492443244,302.2500,302.5799,302.2300,302.4700,6000
1492443301,302.4500,302.4540,302.2840,302.2840,9600
1492443370,302.6000,302.7300,302.4749,302.4803,7200
1492443436,302.5176,302.6700,302.4500,302.6700,4600
1492443481,302.4800,302.6000,302.4200,302.4200,5700
1492443540,302.5217,302.5790,302.4600,302.5340,7200
1492443613,302.3600,302.5600,302.3060,302.5117,5000
1492443663,302.2600,302.4203,302.2500,302.3600,3700
1492443732,301.8700,302.2000,301.8600,302.1900,6400
1492443785,301.9772,302.0160,301.8600,301.9413,5800
1492443850,302.0260,302.0800,301.9500,301.9500,4900
1492443908,302.1700,302.3042,302.1040,302.1040,5500
1492443972,302.1900,302.2600,302.0900,302.1500,5800
1492444022,302.5500,302.5500,302.1500,302.2712,12200
1492444084,302.3110,302.6200,302.3110,302.5100,8300
1492444146,302.3600,302.4702,302.3600,302.4702,3700
1492444212,302.4200,302.4300,302.3050,302.4300,5300
1492444261,302.5433,302.5433,302.2800,302.2800,3400
1492444320,302.6300,302.7196,302.5500,302.5900,9400
1492444386,302.6580,302.6970,302.5800,302.6860,2800
1492444452,302.4210,302.6388,302.4200,302.6388,4200
1492444558,302.2200,302.4200,302.2200,302.4200,4500
1492444561,302.3525,302.3525,302.1891,302.2400,7800
1492444678,302.4300,302.5000,302.3600,302.4000,7900
1492444680,302.5900,302.6400,302.4160,302.4160,8700
1492444742,302.4750,302.7700,302.4500,302.6500,5900
1492444859,302.3600,302.5600,302.3600,302.5140,4700
1492444860,302.2908,302.4682,302.2400,302.3100,3900
1492444927,302.2300,302.2400,302.1300,302.2000,6000
1492445000,302.2101,302.2904,302.2101,302.2400,600
1492445099,302.3200,302.4100,302.2100,302.2100,4600
1492445106,302.2600,302.3000,302.2510,302.3000,700
1492445164,302.0727,302.2800,302.0727,302.2800,4200
1492445235,302.1200,302.1562,302.0400,302.0700,3100
1492445280,301.9500,302.0900,301.7500,302.0400,15600
1492445351,301.9900,302.0600,301.9200,301.9800,1700
1492445400,302.1006,302.1200,301.9200,301.9200,5200
1492445466,302.0800,302.1500,302.0800,302.0987,3900
1492445522,302.1800,302.1800,302.0800,302.1400,4200
1492445637,302.0074,302.1516,301.9400,302.1516,7200
1492445641,302.0316,302.0700,301.9800,301.9900,2600
1492445703,302.2550,302.3290,302.0318,302.0700,7300
1492445819,302.1000,302.3300,302.0500,302.3000,3900
1492445825,302.1500,302.2200,302.0300,302.2200,9200
1492445881,302.0500,302.2475,302.0500,302.2300,5100
1492445966,302.0300,302.1300,302.0300,302.1300,700
1492446058,302.1850,302.1900,302.0600,302.0600,3300
1492446060,302.1200,302.2500,302.1200,302.1900,5800
1492446122,302.0500,302.2600,302.0500,302.1400,2700
1492446197,302.1300,302.1600,302.0200,302.1000,1600
1492446244,302.2200,302.2500,302.1100,302.1194,3400
1492446303,301.8000,302.2209,301.8000,302.1600,7500
1492446364,301.9400,301.9400,301.6619,301.7600,7800
1492446423,302.1488,302.1488,301.8400,301.8600,3900
1492446485,301.7400,301.9500,301.7400,301.9500,4700
1492446589,301.5901,301.8090,301.5400,301.6600,3900
1492446601,301.8200,301.8300,301.6010,301.6753,2500
1492446710,301.8000,301.8999,301.8000,301.8000,800
1492446778,301.7732,301.8450,301.7300,301.8450,2300
1492446788,301.7900,301.8400,301.7483,301.8200,2200
1492446851,301.6710,301.7900,301.6710,301.7900,2000
1492446903,301.6425,301.7400,301.6000,301.7400,6600
1492446967,301.5410,301.6500,301.3701,301.6500,3200
1492447028,301.6900,301.6900,301.5146,301.5146,3600
1492447083,301.6010,301.7000,301.5900,301.6600,2200
1492447199,301.5480,301.6965,301.4278,301.6400,5300
1492447204,301.5700,301.5700,301.5200,301.5567,1200
1492447264,301.6490,301.6490,301.5100,301.5200,800
1492447321,301.5600,301.6100,301.4800,301.6100,3500
1492447388,301.6700,301.6900,301.6056,301.6400,2400
1492447445,301.6000,301.6683,301.4800,301.6200,5400
1492447501,301.4500,301.5800,301.4500,301.5703,3500
1492447576,301.4982,301.4982,301.4300,301.4500,1900
1492447620,301.4000,301.4680,301.3400,301.4300,3300
1492447680,301.3920,301.4099,301.3400,301.3650,3200
1492447748,301.2650,301.3900,301.2100,301.3900,3300
1492447813,300.9410,301.2100,300.9400,301.2100,11300
1492447914,301.1016,301.1600,300.9859,301.0063,5700
1492447978,301.0600,301.1400,301.0500,301.1328,3600
1492447982,301.1200,301.2200,301.0900,301.0900,1400
1492448051,301.1707,301.2300,301.1599,301.1670,3800
1492448106,301.2000,301.2000,301.1000,301.1300,1600
1492448166,301.4217,301.4400,301.2500,301.2500,4900
1492448233,301.3100,301.3400,301.2110,301.3400,2400
1492448284,301.2000,301.3200,301.1600,301.3200,2600
1492448349,301.1500,301.2000,301.1300,301.1500,2400
1492448424,301.1600,301.3600,301.1600,301.2057,5500
1492448518,301.1400,301.2400,301.1000,301.1600,5000
1492448520,301.1000,301.1729,301.0700,301.1200,3900
1492448581,301.0200,301.1660,301.0200,301.1660,3300
1492448646,300.9500,301.0200,300.9100,301.0101,9700
1492448717,301.0000,301.0600,300.9000,300.9500,1600
1492448764,300.9400,301.0000,300.9000,300.9700,2200
1492448827,300.7100,300.8900,300.6800,300.8900,8600
1492448884,300.7100,300.8000,300.7100,300.7300,3400
1492448941,300.8000,300.8400,300.7000,300.7000,3800
1492449008,300.9400,300.9400,300.8301,300.8301,4300
1492449074,301.0013,301.0013,300.8200,300.8500,6100
1492449130,300.8900,301.0200,300.8300,300.9800,3900
1492449187,300.9166,300.9600,300.8300,300.8300,2200
1492449253,301.0989,301.1500,300.9503,300.9503,4400
1492449302,301.1400,301.1400,301.0400,301.0600,3200
1492449418,301.0600,301.1751,301.0400,301.1500,6700
1492449422,301.1030,301.1300,301.0000,301.0398,6000
1492449489,301.1003,301.1003,301.0200,301.0600,1000
1492449572,301.1100,301.1700,301.0700,301.0700,3500
1492449657,300.9350,301.1200,300.9100,301.1100,2600
1492449660,300.9300,301.0800,300.8632,300.9000,4100
1492449722,300.8210,300.9800,300.8210,300.9100,3100
1492449797,300.8700,300.9700,300.8200,300.8788,1900
1492449848,300.9200,300.9600,300.8300,300.8900,1500
1492449914,300.9217,301.0100,300.8300,300.8474,3300
1492449980,300.9201,300.9606,300.9095,300.9095,1800
1492450029,301.0000,301.0740,300.8900,300.9200,180700
1492450092,301.2184,301.2700,300.9300,300.9300,5000
1492450150,301.4062,301.4600,301.2300,301.3040,8300
1492450202,301.2438,301.4300,301.2277,301.3500,4600
1492450261,301.1500,301.2748,301.1500,301.2748,3200
1492450378,301.0600,301.1179,301.0600,301.1179,1900
1492450382,301.1400,301.1670,301.0800,301.1203,800
1492450496,301.0543,301.1500,301.0500,301.1355,3500
1492450505,300.9400,301.0200,300.9400,301.0200,7700
1492450560,300.8400,301.0182,300.7300,300.9100,7500
1492450622,301.1900,301.1900,300.8000,300.8050,7600
1492450684,301.1025,301.1800,301.0000,301.1500,1200
1492450742,301.3016,301.3500,301.0110,301.0110,4600
1492450801,301.4288,301.4288,301.2500,301.3200,3200
1492450864,301.4100,301.4600,301.2800,301.4300,16200
1492450946,301.3500,301.3500,301.3500,301.3500,400
1492451039,301.3900,301.4700,301.3400,301.4700,2700
1492451041,301.3005,301.4700,301.2310,301.4003,2900
1492451101,301.3000,301.3300,301.2000,301.2400,2700
1492451161,301.2300,301.3000,301.0700,301.2100,4700
1492451238,301.1900,301.2600,301.1900,301.2300,900
1492451285,301.2900,301.3314,301.2400,301.2506,2000
1492451344,301.3600,301.3900,301.3000,301.3200,2600
1492451416,301.2300,301.4200,301.2300,301.3344,2900
1492451464,301.1501,301.2431,301.0700,301.2300,6700
1492451521,300.9350,301.0540,300.8600,301.0540,72100
1492451580,300.9800,301.0700,300.9000,300.9200,3500
1492451699,300.8600,300.9500,300.8100,300.9300,4100
1492451700,300.9094,300.9100,300.8000,300.8525,3500
1492451766,300.9500,300.9700,300.8000,300.9440,4500
1492451843,300.8988,300.9300,300.8600,300.8600,900
1492451882,300.9000,300.9400,300.7900,300.8925,6300
1492451946,301.0000,301.0806,300.9100,300.9400,3900
1492452002,301.1397,301.2400,301.0000,301.0000,4200
1492452067,301.0000,301.1900,301.0000,301.1100,4000
1492452140,301.0400,301.0500,300.9500,301.0399,3600
1492452181,300.9400,301.0900,300.9400,300.9962,5000
1492452297,301.0000,301.0700,300.9300,300.9350,3600
1492452300,301.0300,301.0300,300.8700,300.9900,7700
1492452363,301.1999,301.3200,301.0700,301.0800,6800
1492452430,301.0600,301.2800,301.0100,301.1933,6100
1492452539,301.1800,301.4500,301.0905,301.0905,7200
1492452540,301.2557,301.3300,301.2227,301.2484,4600
1492452602,301.3256,301.3900,301.2300,301.2300,5500
1492452660,301.5100,301.5900,301.2800,301.2800,9700
1492452723,301.5000,301.6500,301.5000,301.5700,16500
1492452839,301.8100,301.8600,301.6200,301.6300,13100
1492452840,301.8800,302.0400,301.8500,301.8500,18400
1492452900,301.8700,301.9673,301.7700,301.8200,10600
1492452963,301.7436,301.9200,301.6450,301.8900,10600
1492453030,301.6563,301.6999,301.5800,301.6000,1600
1492453082,301.5870,301.6119,301.5800,301.5801,2900
1492453148,301.3718,301.5638,301.3100,301.5100,5500
1492453203,301.4342,301.4342,301.1754,301.3400,10100
1492453260,301.5690,301.5690,301.3700,301.4800,2400
1492453378,301.6600,301.6600,301.4300,301.4890,3100
1492453383,301.5500,301.7500,301.5500,301.6600,4500
1492453440,301.6000,301.7000,301.4700,301.5600,3200
1492453512,301.6768,301.7000,301.5900,301.6500,2000
1492453580,301.7300,301.8200,301.7300,301.7300,1300
1492453622,301.8700,301.9100,301.7300,301.7400,6500
1492453683,301.7700,301.9300,301.7300,301.9300,2200
1492453747,301.7400,301.8500,301.7200,301.7803,1000
1492453858,301.8100,301.8900,301.7100,301.7200,7000
1492453861,301.9100,301.9850,301.8400,301.8400,10700
1492453922,301.9300,301.9700,301.8701,301.8701,6900
1492453984,302.0600,302.1000,301.9300,301.9300,3000
1492454061,302.1260,302.1500,302.0000,302.0000,4400
1492454159,302.0800,302.1900,302.0640,302.1900,6900
1492454162,301.9300,302.1500,301.9000,302.0400,16300
1492454278,301.8800,302.0300,301.7900,301.9500,8900
1492454283,301.8380,302.0100,301.7800,301.8900,7600
1492454395,301.9300,302.0000,301.7700,301.7700,4800
1492454400,302.0700,302.1000,301.8600,301.9283,8800
1492454470,302.2000,302.2100,302.0750,302.0750,21000
1492454521,301.9628,302.2196,301.9628,302.2196,6000
1492454636,302.0304,302.0602,301.9200,302.0320,11100
1492454641,301.9600,302.0350,301.9000,302.0350,11600
1492454718,301.9000,302.0000,301.9000,301.9409,15300
1492454762,301.8300,301.9701,301.7700,301.9700,7100
1492454823,301.8800,301.9020,301.8300,301.8853,5100
1492454881,301.7950,301.8200,301.6800,301.8200,12900
1492454942,301.5774,301.7110,301.5774,301.6600,6900
1492455055,301.5300,301.7100,301.4300,301.5000,13400
1492455065,301.5800,301.6200,301.4100,301.5594,11000
1492455131,301.7350,301.7350,301.5987,301.6300,4800
1492455180,301.5633,301.7200,301.5633,301.7088,3300
1492455240,301.6221,301.6950,301.5519,301.5519,2900
1492455307,301.8100,301.8100,301.7000,301.7300,5500
1492455368,301.8000,301.8800,301.7600,301.8300,5800
1492455421,301.7350,301.8900,301.7350,301.8684,8000
1492455489,301.5015,301.6900,301.4900,301.6900,3100
1492455599,301.4800,301.7140,301.4800,301.6100,3600
1492455602,301.6288,301.6600,301.5263,301.5263,1700
1492455682,301.5300,301.7050,301.5000,301.6410,5200
1492455761,301.5692,301.5800,301.5410,301.5800,1400
1492455787,301.4400,301.6800,301.3800,301.6193,3200
1492455847,301.3925,301.4200,301.3500,301.4000,3700
1492455903,301.5000,301.5400,301.4105,301.4105,3700
1492455965,301.5850,301.6300,301.5431,301.5500,2700
1492456028,301.6700,301.7000,301.5800,301.6662,6800
1492456138,301.7043,301.7100,301.6700,301.6800,6900
1492456142,301.6300,301.7000,301.5600,301.6800,3900
1492456201,301.4546,301.7000,301.4000,301.6100,5200
1492456264,301.4200,301.5200,301.3500,301.4926,5600
1492456329,301.4099,301.4400,301.3601,301.3700,6100
1492456383,301.4496,301.4640,301.3300,301.3700,9200
1492456443,301.5400,301.5400,301.4300,301.4500,7500
1492456509,301.5820,301.5900,301.5000,301.5300,2700
1492456571,301.4974,301.5920,301.4601,301.5920,4700
1492456621,301.7450,301.8300,301.5600,301.5600,8700
1492456680,301.7740,301.8000,301.6200,301.7200,7000
1492456762,301.9800,301.9900,301.8100,301.8100,5800
1492456859,301.9300,301.9900,301.8300,301.9400,8000
1492456918,301.8319,301.9228,301.7000,301.9140,6000
1492456979,302.0000,302.0000,301.7281,301.7900,8200
1492456982,301.9196,301.9961,301.8957,301.9961,8900
1492457041,301.9174,301.9700,301.8800,301.8800,4700
